"ano","edad_0_14","edad_15_64","edad_65_mas"
1990,33260669,47576897,3665422
1991,33464608,48876546,3786323
1992,33691513,50149112,3912506
1993,33925266,51396393,4042901
1994,34150487,52625714,4177304
1995,34351573,53840512,4314659
1996,34515101,55037757,4452780
1997,34634880,56208213,4594926
1998,34716888,57339913,4742382
1999,34769239,58421569,4894607
2000,34809343,59504652,5054863
2001,34851938,60662599,5224726
2002,34881336,61886631,5399307
2003,34879477,63131727,5576695
2004,34842606,64366713,5761262
2005,34787381,65630336,5953231
2006,34738739,66991182,6155725
2007,34713297,68456495,6368873
2008,34703486,69986944,6585485
2009,34695961,71525650,6808607
2010,34686968,73022807,7046284
2011,34667061,74476574,7302545
2012,34613591,75877476,7569447
2013,34520689,77236926,7840039
2014,34382751,78555813,8110040
2015,34189560,79803346,8375584
2016,33957373,80986362,8643672
2017,33714077,82127176,8935919
2018,33490327,83247972,9257526
2019,33283853,84329698,9602115
2020,33076417,85272128,9860625
2021,32856699,86098570,10027670
2022,32611395,87023345,10325860
2023,32336545,88038778,10760014
2024,32039167,89017715,11217534
2025,31728485,89940444,11698499
2026,31415195,90790742,12201321
2027,31106214,91561226,12724222
2028,30798971,92256067,13266557
2029,30487731,92885761,13827316
2030,30175324,93455641,14403025
2031,29874057,93961162,14990624
2032,29586337,94403699,15590512
2033,29292724,94805221,16204038
2034,28984697,95177622,16831074
2035,28666062,95519377,17471198
2036,28335560,95832365,18123579
2037,28005578,96104419,18785491
2038,27681934,96329625,19452678
2039,27358487,96515629,20118630
2040,27036083,96665759,20774688
