"ano","poblacion_nl","crecimiento"
1990,3208410,
1991,3282300,2.30300990210104070200
1992,3357998,2.30624866709319684400
1993,3434963,2.29199064442563694200
1994,3512406,2.25455121350652103100
1995,3588615,2.16970931037015652500
1996,3659598,1.97800544221099226300
1997,3724841,1.78279144321316166400
1998,3786472,1.65459411556090582100
1999,3844444,1.53102941207540951000
2000,3910227,1.71111869492701675500
2001,3989161,2.01865518293439230000
2002,4072154,2.08046253334974447000
2003,4155370,2.04353764616957020800
2004,4237502,1.97652675934994958300
2005,4318376,1.90853007267017219100
2006,4399069,1.86859597218954532900
2007,4482940,1.90656250220217050500
2008,4570821,1.96034298919905240800
2009,4660113,1.95352213530129488800
2010,4753609,2.00630328062860278300
2011,4854677,2.12613195574141667900
2012,4957369,2.11532095750139504600
2013,5058154,2.03303405495939479200
2014,5156442,1.94315950048179632300
2015,5266220,2.12894860448347911200
2016,5392796,2.40354561715993634900
2017,5523593,2.42540233303837193200
2018,5657159,2.41809995776299955500
2019,5792403,2.39066994581555865800
2020,5905971,1.96063706202762480400
2021,5996906,1.53971294474693492400
2022,6095498,1.64404778063888278400
2023,6202153,1.74973398399933852800
2024,6308199,1.70982560410876674600
2025,6413123,1.66329565696960416100
2026,6516202,1.60731362863303884900
2027,6616988,1.54669852162348558300
2028,6715612,1.49046665945291120400
2029,6812406,1.44132805766622610100
2030,6907570,1.39692202725439440900
2031,7001033,1.35305179679684751700
2032,7092696,1.30927821651462005700
2033,7182671,1.26855852837905360700
2034,7271200,1.23253591874109227600
2035,7358398,1.19922433711079326700
2036,7444182,1.16579722923386313200
2037,7528353,1.13069508510135834900
2038,7610695,1.09375848874249122000
2039,7691081,1.05622416875199965300
2040,7769371,1.01793232966861225400
